Timestamp,What type of music do you usually listen to at different times of the day? [Morning],What type of music do you usually listen to at different times of the day? [Afternoon],What type of music do you usually listen to at different times of the day? [Evening],What type of music do you usually listen to at different times of the day? [Night],What type of music do you prefer based on the weather?  [For Rainy Weather],What type of music do you prefer based on the weather?  [Non-Rainy Weather],What type of music do you prefer based on the temperature?  [When the temperature is high (above 30°C)],What type of music do you prefer based on the temperature?  [When the temperature is low],What type of music do you prefer based on the brightness of your environment?  [In dim light],What type of music do you prefer based on the brightness of your environment?  [In bright light]
05/10/2024 11:34:48,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 11:36:19,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 11:36:33,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 11:36:53,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 11:37:05,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 11:38:49,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 11:43:17,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)"
05/10/2024 11:48:29,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 11:48:34,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 12:20:09,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 12:20:34,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 12:23:17,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 12:26:06,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 12:38:52,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)"
05/10/2024 12:39:23,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 12:41:26,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)"
05/10/2024 12:48:01,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 13:10:33,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 13:33:30,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 15:07:18,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 15:07:22,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 15:15:20,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 15:18:26,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 15:34:17,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 15:45:44,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)"
05/10/2024 15:54:13,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 16:05:58,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 16:06:08,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)"
05/10/2024 16:06:46,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 16:17:45,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 16:19:35,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 16:22:54,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 16:24:34,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
